Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Kelly,Cantrell,Stephens Hollow 76994,East Brandon,33000,Danmark,DK,19480906-3406,+45,001-411-468-9010x4279,1948-09-06,True
Eva,Nilsson,Industrivägen 075,Trelleborg,75269,Sverige,SE,19660427-5746,+46,+46 (0)64 95 21 86,1966-04-27,True
Mia,Juntunen,Tahtikatu 21,Pornainen,02184,Finland,FI,19710728-3881,+358,+358 493845466,1971-07-28,True
Lise-Lott,Eklund,Fabriksgatan 65,Gävle,68453,Sverige,SE,19651213-5209,+46,0055-73 86 28,1965-12-13,True
William,Bergman,Genvägen 170,Ängelholm,74105,Sverige,SE,19760523-4047,+46,0034-562 64,1976-05-23,True
Wenche,Bøe,Jakobsenskogen 99,Berg,5961,Norge,NO,19710721-3570,+47,03744435,1971-07-21,True
Nora,Gabrielsson,Ringgatan 7,Karlskrona,88283,Sverige,SE,19500401-5792,+46,0720-489 49,1950-04-01,True
Ingrid,Solheim,Ødegårdflata 40,Ceciliemark,0030,Norge,NO,19890821-2107,+47,91385801,1989-08-21,True
Jonas,Lantz,Parkgränd 97,Örnsköldsvik,34226,Sverige,SE,19870805-2780,+46,08-226 32 93,1987-08-05,True
Alicia,Magnusson,Industrivägen 35,Halmstad,93196,Sverige,SE,19550830-8686,+46,040-127 30 24,1955-08-30,True
Diana,Hermansson,Fabriksgatan 3,Lidköping,83224,Sverige,SE,19680930-1568,+46,+46 (0)916 745 02,1968-09-30,True
Emanuel,Fredriksson,Villagatan 876,Umeå,15497,Sverige,SE,19540308-4784,+46,+46 (0)88 81 49 09,1954-03-08,True
Staffan,Ibrahim,Kyrkgatan 33,Umeå,53859,Sverige,SE,19420709-7605,+46,08-459 973 41,1942-07-09,True
Elsie,Larsson,Skoltorget 82,Nyköping,85311,Sverige,SE,19580331-1072,+46,0922-871 79,1958-03-31,True
Alicia,Jönsson,Villavägen 287,Kristianstad,98061,Sverige,SE,19850111-1391,+46,0293-602 50,1985-01-11,True
Viktoria,Karlsson,Villagatan 33,Karlstad,45348,Sverige,SE,19610613-0410,+46,0631-10 80 26,1961-06-13,True
Tomas,Karlsson,Björkgatan 998,Lidingö,63972,Sverige,SE,19660727-8834,+46,08-172 627 91,1966-07-27,True
Ingvar,Johansson,Ekgatan 361,Varberg,32254,Sverige,SE,19820803-9039,+46,0774-65 22 53,1982-08-03,True
Margareta,Asplund,Bäckgränd 0,Skövde,56365,Sverige,SE,19800427-5414,+46,0805-101 16,1980-04-27,True
Alvin,Hedström,Åkergatan 705,Östersund,52001,Sverige,SE,19930709-4558,+46,+46 (0)080 283 80,1993-07-09,True
Roy,Jenssen,Solheimkroken 8,Johnfjord,7713,Norge,NO,19551216-8354,+47,42742919,1955-12-16,True
Oscar,Johansson,Ekstigen 43,Helsingborg,98656,Sverige,SE,19410731-3584,+46,08-48 75 22,1941-07-31,True
Henrik,Linde,Gentorget 39,Lidingö,39710,Sverige,SE,19821205-4263,+46,+46 (0)319 942 54,1982-12-05,True
Elisabeth,Bøe,Hansenberget 01,Markusfoss,9440,Norge,NO,19790113-6236,+47,77 40 20 36,1979-01-13,True
Solveig,Jenssen,Næssgjerdet 377,Vidarvik,1323,Norge,NO,19660812-3455,+47,43842347,1966-08-12,True
Emma,Palmgren,Trädgårdsgatan 580,Borås,64531,Sverige,SE,19500711-5022,+46,0071-910 10,1950-07-11,True
Cassandra,Love,Fritz Alley 618,Mendozaport,53757,Danmark,DK,19961020-6638,45,316.928.4270,1996-10-20,True
Margareta,Dahl,Skolstigen 1,Uppsala,63562,Sverige,SE,19610612-3757,+46,093-773 18 51,1961-06-12,True
Eric,Lennartsson,Skolstigen 95,Jönköping,71290,Sverige,SE,19540125-1622,+46,0127-187 89,1954-01-25,True
Christian,Larsen,Lundplassen 92,Bakken,1132,Norge,NO,19800512-7465,+47,970 28 559,1980-05-12,True
Mikael,Timonen,Agronominbulevardi 3,Juuka,71788,Finland,FI,19810419-527A,+358,014 866 6099,1981-04-19,True
Ruth,Turesson,Skolgränd 7,Jönköping,89744,Sverige,SE,19990122-2692,+46,063-896 98 73,1999-01-22,True
Annie,Höglund,Strandgatan 97,Karlskrona,30872,Sverige,SE,19430128-5406,+46,0755-103 64,1943-01-28,True
Gunnel,Holm,Grangränd 926,Jönköping,19496,Sverige,SE,19860706-5709,+46,+46 (0)8 758 201 25,1986-07-06,False
Björn,Karlsson,Björktorget 724,Kristianstad,23028,Sverige,SE,19830730-8627,+46,039-55 55 26,1983-07-30,True
Stine,Sæther,Bakkevika 1,Ritaeid,8846,Norge,NO,19850615-6904,+47,933 19 556,1985-06-15,True
Juan,Short,Richard Court 465,Brittanyburgh,38999,Danmark,DK,19721227-5672,+45,+1-880-203-9892,1972-12-27,True
Derek,Martin,Jonathan Creek 4948,Wrightville,07983,Danmark,DK,19620907-6169,+45,7254621262,1962-09-07,True
Ida,Eliassen,Myhretoppen 53,Bakken,1586,Norge,NO,19780925-1417,+47,98462558,1978-09-25,True
Mikaela,Magnusson,Aspvägen 504,Norrköping,39665,Sverige,SE,19961117-7317,+46,098-972 45 01,1996-11-17,True
Anna,Eriksson,Skolvägen 786,Kalmar,53113,Sverige,SE,19730316-9190,+46,08-12 04 51,1973-03-16,True
Marianne,Jacobsen,Brekkehøgda 983,Hagen,5000,Norge,NO,19900614-1328,+47,92732424,1990-06-14,True
Valdemar,Josefsson,Backgatan 9,Gävle,30344,Sverige,SE,19410216-8715,+46,+46 (0)41 52 49 26,1941-02-16,True
Jens,Hassan,Villastigen 000,Örebro,30814,Sverige,SE,19700302-1962,+46,+46 (0)8 388 301 40,1970-03-02,True
Tony,Lundgren,Fabriksstigen 01,Östersund,61795,Sverige,SE,19530714-0230,+46,08-231 76 90,1953-07-14,True
Asbjørn,Andreassen,Karlsengjerdet 7B,Kjerstivik,7761,Norge,NO,19780804-4887,+47,42242004,1978-08-04,True
Rose-Marie,Henriksson,Backgränd 05,Alingsås,70358,Sverige,SE,19740702-4679,+46,0371-96 21 27,1974-07-02,True
Alma,Berglund,Idrottsgränd 76,Varberg,50288,Sverige,SE,19950528-1203,+46,+46 (0)311 645 30,1995-05-28,True
Irene,Knutsen,Johansengata 8,Theafoss,1907,Norge,NO,19890109-2854,+47,94 45 51 57,1989-01-09,True
Svante,Lundberg,Skolgränd 4,Gävle,54126,Sverige,SE,19790312-5414,+46,0888-31 83 80,1979-03-12,True
Margareta,Persson,Industrigatan 9,Ängelholm,79647,Sverige,SE,19740929-1644,+46,071-242 93 39,1974-09-29,True
Hanne,Olsen,Olsengjerdet 1,Pedersen,5551,Norge,NO,19891213-8686,+47,+4799284075,1989-12-13,True
Per,Ström,Åkervägen 117,Malmö,12709,Sverige,SE,19580117-1109,+46,+46 (0)8 315 290 88,1958-01-17,True
Daniel,Skoglund,Strandgatan 27,Borås,13732,Sverige,SE,19900319-4163,+46,040-97 35 67,1990-03-19,True
Cecilia,Johansson,Idrottsstigen 019,Östersund,50951,Sverige,SE,19610122-2481,+46,0647-90 12 20,1961-01-22,True
Leonard,Pettersson,Backvägen 899,Lidköping,66114,Sverige,SE,19561122-6304,+46,+46 (0)96 29 61 89,1956-11-22,True
Maria,Lindberg,Kyrkovägen 25,Sundsvall,47188,Sverige,SE,20000211-2441,+46,+46 (0)8 519 464 12,2000-02-11,True
Linnéa,Lundström,Fabriksvägen 92,Västerås,44721,Sverige,SE,19430819-7451,+46,+46 (0)8 886 904 01,1943-08-19,True
Jarkko,Hietala,Ieskatu 7,Maalahti,45688,Finland,FI,19570827-460N,+358,+358 472038318,1957-08-27,True
Max,Hagström,Skogsvägen 431,Örnsköldsvik,66144,Sverige,SE,19520319-2660,+46,+46 (0)70 88 73 29,1952-03-19,False
Kristoffer,Bakke,Aasenbakken 2F,Roarvær,1349,Norge,NO,19551213-8556,+47,96676838,1955-12-13,True
Willie,Byrd,Robert Pass 19098,South Paulaburgh,50581,Danmark,DK,19700412-7456,+45,(373)812-9931x880,1970-04-12,True
Rebekah,Bowers,Johnathan Tunnel 0098,Lake Kimberly,39774,Danmark,DK,19451007-1789,+45,896.246.0010x4920,1945-10-07,True
Valdemar,Östberg,Strandvägen 094,Borås,84449,Sverige,SE,19920921-1190,+46,088-742 26 74,1992-09-21,True
Rebecca,Hendrix,Brandon Curve 46920,Harrisview,88528,Danmark,DK,19610805-0522,+45,(379)889-2903,1961-08-05,True
Bertil,Englund,Aspvägen 12,Gävle,25351,Sverige,SE,19820313-2932,+47,08-78 72 22,1982-03-13,True
Helge,Halvorsen,Holmalléen 7,Madsen,3052,Norge,NO,19841227-0919,+47,+4752743101,1984-12-27,True
Antero,Manninen,Dunckerinkatu 6,Pielavesi,96308,Finland,FI,19501027-297N,+358,+358 09 8154960,1950-10-27,True
Jimmy,Larsson,Ringgatan 72,Karlstad,30748,Sverige,SE,19970619-4887,+46,0674-394 02,1997-06-19,True
Jari,Hämäläinen,Granfeltinkatu 8,Alavus,13990,Finland,FI,19820622-436T,+358,(+358) 239646532,1982-06-22,True
Freja,Molin,Trädgårdstorget 94,Skellefteå,88069,Sverige,SE,19461010-2033,+46,0727-07 36 86,1946-10-10,True
Anita,Bakken,Johannessenspranget 11,Anitavåg,4682,Norge,NO,19620728-0748,+47,46852029,1962-07-28,True
Jose,Larsen,Furugatan 376,Norrköping,44320,Sverige,SE,19421217-9298,+46,002-69 09 65,1942-12-17,True
Andreas,Nilsson,Ekgatan 5,Kristianstad,73887,Sverige,SE,19431016-2733,+46,08-466 28 79,1943-10-16,True
Johanna,Pohjola,Rapolanbulevardi 83,Föglö,81949,Finland,FI,19720714-4800,+358,+358 15 6649683,1972-07-14,True
Margareta,Norén,Kyrkgränd 704,Borlänge,20304,Sverige,SE,19680604-1890,+46,090-42 61 16,1968-06-04,True
Maria,Granath,Villatorget 577,Linköping,57133,Sverige,SE,19740709-9149,+46,036-208 25 12,1974-07-09,True
Theo,Hall,Björkvägen 1,Stockholm,39546,Sverige,SE,19771019-1730,+46,08-26 14 66,1977-10-19,True
Olof,Ottosson,Kyrkgatan 7,Trollhättan,24015,Sverige,SE,19581022-4677,+46,086-992 10 53,1958-10-22,True
Silje,Hanssen,Eidevollen 7,Ali,1945,Norge,NO,19660723-0576,+47,16 30 27 73,1966-07-23,True
Atte,Ahokas,Sapilaspolku 2,Ruovesi,42353,Finland,FI,19640513-778R,+358,(+358) 768860566,1964-05-13,True
Jakob,Larsson,Järnvägsgränd 58,Kristianstad,99642,Sverige,SE,19780802-1604,+46,+46 (0)81 14 43 36,1978-08-02,True
Daniel,Andersson,Kyrkogatan 893,Göteborg,95917,Sverige,SE,19430406-2091,46,0958-156 45,1943-04-06,True
Jose,Faulkner,Turner Isle 27149,Andersonton,63887,Danmark,DK,19470702-9284,+45,987-333-3783,1947-07-02,True
Ida,Nilsson,Parkgatan 76,Örnsköldsvik,39113,Sverige,SE,19790327-3654,+46,08-38 86 26,1979-03-27,True
Sofie,Carlsson,Ekvägen 720,Landskrona,60061,Sverige,SE,19710201-3445,+46,08-891 67 73,1971-02-01,True
Clifford,Holmes,Golden Crossroad 3816,North Mark,40278,Danmark,DK,19641019-9844,+45,239.268.2948x172,1964-10-19,True
Donald,Smith,Brian Turnpike 82826,North Shelby,43321,Danmark,DK,19660725-7777,+45,001-389-220-4308x497,1966-07-25,True
Eva,Larsson,Aspgatan 420,Nyköping,30095,Sverige,SE,19840910-4522,+46,086-393 29 35,1984-09-10,True
Courtney,Choi,Renee Crossroad 1934,East Veronicashire,87252,Danmark,DK,19730501-5214,+45,490.352.5888x8176,1973-05-01,True
Kari,Hanssen,Danielsenjordet 7,Gulbrandsen,9203,Norge,NO,19820316-0568,+47,94251122,1982-03-16,True
Esa,Kettunen,Kolsinbulevardi 4,Loppi,31680,Finland,FI,19590920-583P,+358,(+358) 522198893,1959-09-20,True
Oscar,Gustafsson,Fabrikstorget 8,Örebro,91426,Sverige,SE,19410403-3161,+46,0622-944 33,1941-04-03,False
Emil,Höglund,Skolgatan 5,Borlänge,75095,Sverige,SE,20000101-4062,+46,0385-934 02,2000-01-01,True
Jouko,Mäkelä,Vellikellontie 703,Varkaus,78613,Finland,FI,19890314-411B,+358,+358 796994395,1989-03-14,True
Håvard,Mathisen,Haugenlyngen 07,Lenestrand,1368,Norge,NO,19950323-8657,+47,49442800,1995-03-23,True
Elina,Bengtsson,Ekvägen 2,Skellefteå,26435,Sverige,SE,19720614-8187,+46,08-524 23 17,1972-06-14,True
Gustav,Almqvist,Industrigatan 0,Lidköping,74023,Sverige,SE,19500901-4903,+46,0319-439 72,1950-09-01,True
Miriam,Olander,Trädgårdsgatan 4,Kalmar,12067,Sverige,SE,19970414-3097,+46,0701-054 38,1997-04-14,True
Harald,Isaksen,Liespranget 2,Lisesjøen,9655,Norge,NO,19811207-2113,+47,98338033,1981-12-07,True
Mikael,Gustafsson,Stationsvägen 225,Piteå,35706,Sverige,SE,19571230-8872,+46,08-34 39 64,1957-12-30,True
Kristoffer,Aune,Eliassensvingen 9,Unnivåg,5177,Norge,NO,19900911-0900,+47,44681375,1990-09-11,True
Debra,Johnson,Fischer Extension 618,Riceport,07911,Danmark,DK,19820703-7856,+45,+1-209-545-7433x856,1982-07-03,True
Jessica,Knight,Thomas Circle 1137,South Michaelfort,13060,Danmark,DK,19421028-8784,+45,814-973-9579,1942-10-28,True
Anthony,Cooper,Angelica Unions 703,Powellside,90640,Danmark,DK,19400312-6036,+45,687.441.8192x602,1940-03-12,True
Bo,Andersson,Asptorget 62,Lidingö,94144,Sverige,SE,19690322-8879,+46,0478-46 19 03,1969-03-22,True
Deborah,Austin,Blake Flats 086,Martinchester,35829,Danmark,DK,19830505-3436,+45,957.912.4847x946,1983-05-05,True
Anna,Andersen,Johansenalléen 3,Anettefoss,0206,Norge,NO,19760805-2340,+47,90501110,1976-08-05,True
Grete,Moe,Iversenholtet 4A,Haug,7818,Norge,NO,19530511-1918,+47,70347998,1953-05-11,True
Linnéa,Blixt,Ängsvägen 856,Nyköping,61929,Sverige,SE,19630402-3103,+46,08-38 05 76,1963-04-02,True
Alf,Eriksson,Bäckgränd 4,Södertälje,41457,Sverige,SE,19881125-1513,+46,+46 (0)8 987 823 91,1988-11-25,True
Elsa,Eklund,Fagottikuja 8,Kivijärvi,35170,Finland,FI,19831208-586D,+358,0572959654,1983-12-08,True
Knut,Strand,Nielsenhøgda 998,Haugland,6816,Norge,NO,19740921-3609,+47,07 69 55 28,1974-09-21,True
Elisabet,Lindberg,Gentorget 437,Malmö,81765,Sverige,SE,19790524-5164,+46,0976-764 39,1979-05-24,True
Shane,Rodriguez,Robinson Curve 28787,Port Sheilaview,94798,Danmark,DK,19470319-9711,+45,507.209.0573x8682,1947-03-19,True
Kristin,Haugland,Aaslia 72C,Pettersjøen,4811,Norge,NO,19561114-9680,+47,+4739960179,1956-11-14,False
Gunnar,Andersson,Backvägen 3,Lund,58794,Sverige,SE,19790112-0743,+46,08-668 39 39,1979-01-12,True
Alexander,Berg,Nguyenfaret 9,Nilsen,3549,Norge,NO,19600816-8305,+47,437 31 043,1960-08-16,True
Jonathon,Bates,Daniel Pine 11020,Waltersport,48588,aanmark,DK,19950728-4670,+45,(468)616-7506x27614,1995-07-28,True
Brian,Larson,Davis Crossing 33303,Ambershire,23880,Danmark,DK,19700903-5441,+45,988.590.7601x485,1970-09-03,True
Sanna,Lundqvist,Fabriksgatan 7,Malmö,31978,Sverige,SE,20000322-5560,+46,038-92 85 02,2000-03-22,True
Caroline,Andersson,Nytorget 3,Södertälje,66770,Sverige,SE,19661010-8541,+46,08-265 30 68,1966-10-10,True
Jouni,Honkanen,Betlehemintie 017,Raahe,27023,Finland,FI,19700330-243A,+358,(+358) 497892815,1970-03-30,True
Magnus,Martinsson,Backvägen 604,Norrköping,40443,Sverige,SE,19780402-9037,+46,08-276 618 04,1978-04-02,True
Magnus,Berggren,Åkergatan 94,Piteå,42202,Sverige,SE,19521113-3567,+46,+46 (0)246 313 60,1952-11-13,True
Laura,Berg,Kyrkovägen 8,Lidköping,54956,Sverige,SE,19440907-6684,+46,08-010 481 72,1944-09-07,True
Kenneth,Waller,Jackson Station 9052,West Lisa,85266,Danmark,DK,19490527-5922,+45,932-421-5076x8857,1949-05-27,True
Per,Lindvall,Skogsvägen 4,Gävle,11490,Sverige,SE,19870406-8038,+46,08-063 183 72,1987-04-06,True
Erik,Sundin,Idrottsgatan 55,Landskrona,24009,Sverige,SE,19830415-6250,+46,056-045 45 90,1983-04-15,True
Inger,Palmqvist,Åkertorget 43,Halmstad,30433,Sverige,SE,19910722-0544,+46,0559-493 28,1991-07-22,True
Kjell,Hauge,Kristiansenstien 214,Aas,4060,Norge,NO,19760618-3179,+47,+47 57 36 30 00,1976-06-18,True
John,Hendricks,Juarez Neck 480,Lopezburgh,65984,Danmark,DK,19540503-1203,+45,599-251-1704x79298,1954-05-03,True
Karen,Johnson,Barbara Vista 663,East Steven,73568,Danmark,DK,19820527-0603,+45,(500)929-1463,1982-05-27,True
Petter,Olsson,Industrigränd 14,Piteå,79957,Sverige,SE,19490104-6302,+46,+46 (0)154 639 98,1949-01-04,True
Eva,Edlund,Åkergatan 9,Borås,44572,Sverige,SE,19590311-0107,+46,08-586 330 36,1959-03-11,True
Daniel,Burke,Linda Alley 011,Stacyberg,76735,Danmark,DK,19800923-1321,+45,626-480-0230,1980-09-23,True
Nina,Gundersen,Mikkelsenholtet 85,Dagsjøen,9630,Norge,NO,19680509-8343,+47,24 16 20 07,1968-05-09,True
Björn,Bergström,Industrigatan 699,Skellefteå,89886,Sverige,SE,19621105-3916,+46,040-79 68 25,1962-11-05,True
Eeva,Hakkarainen,Eerik Pyhän katu 57,Kyyjärvi,88278,Finland,FI,19900125-801N,+358,093 394 5796,1990-01-25,True
Emilie,Helland,Pedersenrøa 86,Asbjørnvær,2656,Norge,NO,19500122-1894,+47,49269260,1950-01-22,True
Linnea,Johansson,Åkervägen 830,Motala,46144,Sverige,SE,19701125-2185,+46,020-68 30 83,1970-11-25,True
Olav,Eide,Gulbrandsengjerdet 9F,Tomdal,0690,Norge,NO,19710422-1795,+47,419 66 017,1971-04-22,True
Karin,Strandberg,Strandgatan 794,Gävle,92910,Sverige,SE,19850527-6033,+46,+46 (0)913 630 98,1985-05-27,True
Eeva,Kinnunen,Rukkilantie 165,Raasepori,96060,Finland,FI,19821123-742C,+358,089 859 4327,1982-11-23,True
Päivi,Kettunen,Lemunpolku 36,Kolari,55573,Finland,FI,19651013-672W,+358,+358 29 7517575,1965-10-13,True
Bjørg,Hanssen,Haugehøgda 1E,Karolinehelle,0719,Norge,NO,19480125-7321,+47,+47 43 39 38 63,1948-01-25,True
Saga,Bengtsson,Skoltorget 640,Östersund,99735,Sverige,SE,19540301-5250,+46,08-231 947 99,1954-03-01,True
Robert,Morris,William Spur 9222,Robertsonstad,13180,Danmark,DK,19770326-0431,+45,300-739-2559,1977-03-26,True
Astrid,Gundersen,Knutsenspranget 120,Hegesand,3375,Norge,NO,19520302-5151,+47,933 40 060,1952-03-02,True
Siv,Thomassen,Lieskogen 1,Paulsen,3003,Norge,NO,19730707-3472,+47,+47 00 47 75 65,1973-07-07,True
Rolf,Eriksen,Bergestykket 9,Kristofferøy,9944,Norge,NO,19730208-5726,+47,42163268,1973-02-08,True
Tor,Sandvik,Nielsenflata 8,Vik,5732,Norge,NO,19570305-3428,+47,97 45 11 49,1957-03-05,True
Jane,Nelson,Brenda Rest 046,East Tyler,36838,Danmark,DK,19990903-9713,+45,+1-927-626-3226,1999-09-03,True
Birgitta,Westlund,Strandgatan 1,Umeå,65512,Sverige,SE,19490210-1629,+46,+46 (0)78 39 25 56,1949-02-10,True
Adam,Roth,Jill Lodge 103,Annafurt,38102,Danmark,DK,19450730-9816,+45,949-891-8322,1945-07-30,True
Nils,Strøm,Henriksenrøa 32,Ellingsen,0179,Norge,NO,19670217-0850,+47,+47 63 84 86 70,1967-02-17,True
Charlotte,Gustafsson,Villagatan 8,Uddevalla,76623,Sverige,SE,19670131-2713,+46,08-33 96 83,1967-01-31,True
Sofie,Berg,Sørensenroa 7,Espenstad,5541,Norge,NO,19471031-1371,+47,958 67 798,1947-10-31,True
Maj-Britt,Eriksson,Skolvägen 754,Lund,20670,Sverige,SE,19420408-0938,+46,+46 (0)8 369 654 30,1942-04-08,True
Robert,Hawkins,Riggs Grove 88976,East John,80771,Danmark,DK,19700209-4966,45,(788)536-4265x3601,1970-02-09,True
Patricia,Nilsson,Åkerstigen 4,Karlskoga,29829,Sverige,SE,19950116-9075,+46,0596-430 36,1995-01-16,True
Leena,Turunen,Zaidanbulevardi 43,Uurainen,99444,Finland,FI,19881223-257M,+358,(+358) 923144428,1988-12-23,True
Tyler,Moore,Parks Park 8466,Brittanymouth,12471,Danmark,DK,19401106-6193,+45,462-253-4714x7065,1940-11-06,True
Ella,Nilsson,Skolgränd 27,Borlänge,63780,Sverige,SE,19581231-9364,+46,+46 (0)8 313 271 27,1958-12-31,True
Vanessa,Green,Howell Dale 3554,North Daniel,83978,Danmark,DK,19501204-3035,+45,(717)427-7024,1950-12-04,True
Joacim,Svensson,Furugatan 700,Lidingö,46612,Sverige,SE,19741205-3520,+46,0087-05 32 73,1974-12-05,True
Stephanie,Williams,Michael Alley 845,South Benjamin,38640,Danmark,DK,20000828-2510,+45,(762)569-1791x271,2000-08-28,True
Lars,Holst,Kyrkgatan 2,Växjö,51774,Sverige,SE,19970413-4084,+46,08-272 39 71,1997-04-13,True
Christian,Ek,Kyrkovägen 535,Malmö,76970,Sverige,SE,19501015-4179,+46,+46 (0)8 536 577 01,1950-10-15,True
Lars,Hedlund,Järnvägsgatan 02,Landskrona,25257,Sverige,SE,19440223-7901,+46,08-539 78 71,1944-02-23,True
Jerker,Persson,Åkergränd 17,Västerås,52873,Sverige,SE,19830429-5259,+46,022-80 55 07,1983-04-29,True
Kjell,Berge,Christensengropa 6,Gunnstrand,2067,Norge,NO,19440405-7428,+47,69 46 30 17,1944-04-05,True
Gustaf,Hansson,Granstigen 15,Västerås,34649,Sverige,SE,19930616-0591,+46,+46 (0)049 264 18,1993-06-16,True
Heather,Mcconnell,Garza Pike 572,Lake Jillbury,90375,Danmark,DK,19681129-6494,+45,327-728-6450x58916,1968-11-29,True
Thomas,Gulbrandsen,Birkelandringen 85,Turidfjord,4252,Norge,NO,19551216-2020,+47,68 33 36 53,1955-12-16,True
Kenneth,Mohammad,Björkvägen 8,Alingsås,50838,Sverige,SE,19650810-8460,+46,0733-827 17,1965-08-10,True
Maria,Magnusson,Furuvägen 78,Sundsvall,70060,Sverige,SE,19621004-1793,+46,+46 (0)666 423 94,1962-10-04,True
Anna,Bäck,Järnvägstorget 7,Borlänge,91831,Sverige,SE,19520209-4040,+46,004-397 04 53,1952-02-09,True
Brooke,Patel,Gerald Junctions 571,Kingfurt,31385,Danmark,DK,19501108-7018,+45,(617)369-9842x18759,1950-11-08,True
Irmeli,Karttunen,Elisabeth Kochin kuja 51,Jämijärvi,74137,Finland,FI,19870825-4081,+358,0446988462,1987-08-25,True
Pål,Halvorsen,Evensenholtet 9,Bakke,8957,Norge,NO,19471122-2356,+47,00898222,1947-11-22,True
Liisa,Syrjälä,Haapabulevardi 76,Iitti,79488,Finland,FI,19530505-547V,+358,+358 182743052,1953-05-05,True
Olof,Bergstrand,Industrivägen 6,Motala,81540,Sverige,SE,19990423-6540,+46,+46 (0)453 065 57,1999-04-23,True
Eivind,Abrahamsen,Bergmarka 5D,Mikkelsen,5365,Norge,NO,19480111-9978,+47,+47 30 99 83 48,1948-01-11,True
Fredrik,Blomkvist,Aspgatan 889,Umeå,58118,Sverige,SE,19560402-0476,+46,08-93 83 80,1956-04-02,True
Patrick,Strong,Sarah Crest 7163,Estradahaven,84153,Danmark,DK,19710617-4151,+45,+1-351-575-6045x3734,1971-06-17,True
Jan-Erik,Andersson,Aspvägen 60,Varberg,24808,Sverige,SE,19791106-0007,+46,0933-273 18,1979-11-06,True
Alice,Ström,Kyrkvägen 339,Trelleborg,48470,Sverige,SE,19520405-3343,+46,+46 (0)610 645 65,1952-04-05,True
Julie,Pettersen,Bakkenskrenten 34H,Karlsen,3105,Norge,NO,19910902-9573,+47,+47 27 03 48 85,1991-09-02,True
Artur,Moberg,Skolgatan 55,Skellefteå,82455,Sverige,SE,19930629-4358,+46,0198-98 72 08,1993-06-29,True
Erika,Elofsson,Nygränd 391,Varberg,34630,Sverige,SE,19820219-3676,+46,+46 (0)928 667 78,1982-02-19,True
Ingvar,Ericsson,Villavägen 661,Kristianstad,13555,Sverige,SE,19890614-1784,+46,0333-31 50 32,1989-06-14,True
Elisabeth,Lindström,Grantorget 710,Landskrona,59790,Sverige,SE,19620619-5129,+46,08-029 66 42,1962-06-19,True
Anders,Jansson,Järnvägsvägen 2,Malmö,46912,Sverige,SE,19671231-1305,+46,08-635 599 57,1967-12-31,True
Susanne,Ekman,Ringvägen 66,Malmö,88511,Sverige,SE,19770716-2989,+46,08-275 992 92,1977-07-16,True
Elisabet,Sundberg,Skogstorget 74,Landskrona,92679,Sverige,SE,19400108-4858,+46,08-182 59 98,1940-01-08,True
Cecilia,Blomberg,Kyrkvägen 321,Eskilstuna,48592,Sverige,SE,19690713-6646,+46,042-314 05 80,1969-07-13,True
Margareta,Andersson,Idrottsvägen 74,Falun,80255,Sverige,SE,19540829-3726,+46,0277-13 66 22,1954-08-29,True
Charles,Allen,Campbell Dam 570,Port Ashleymouth,02694,Danmark,DK,20001227-4133,+45,9864033213,2000-12-27,True
Karoline,Pettersen,Lundstykket 74B,Stinesand,6657,Norge,NO,19750527-6934,+47,13 72 85 78,1975-05-27,True
Odd,Sæther,Sørensenstykket 79,Torbjørnhelle,9513,Norge,NO,19641112-9509,+47,43685965,1964-11-12,True
John,Estrada,Bradley Crescent 25548,South Aaronfurt,74740,Danmark,DK,19570429-1405,+45,001-434-285-1840x197,1957-04-29,True
Juni,Eklund,Ekgränd 201,Halmstad,18376,Sverige,SE,19890411-8501,+46,+46 (0)798 025 57,1989-04-11,True
Melinda,Mayer,Christopher Drive 038,East Michael,64676,Danmark,DK,19590520-6306,+45,322-940-4985x95205,1959-05-20,True
Vidar,Pedersen,Lundmyra 751,Mariehavn,8660,Norge,NO,19561214-9614,+47,05952112,1956-12-14,True
Erik,Pettersson,Skolgatan 478,Karlstad,87450,Sverige,SE,19620904-3918,+46,08-883 196 79,1962-09-04,True
Ingegerd,Ström,Skolgränd 470,Skövde,75545,Sverige,SE,19620920-3790,+46,081-734 05 40,1962-09-20,True
Johannes,Martikainen,Verkkobulevardi 99,Pieksämäki,30516,Finland,FI,19971010-096B,+358,+358 44 8878186,1997-10-10,True
Anette,Johansson,Industrigatan 7,Örebro,27991,Sverige,SE,19941015-3594,+46,0625-39 72 02,1994-10-15,True
Katriina,Riikonen,Haagan pappilanbulevardi 49,Tohmajärvi,81366,Finland,FI,19840803-213N,+358,(+358) 145351758,1984-08-03,True
Elisabeth,Eide,Knutsenstykket 47,Aune,1205,Norge,NO,19560910-7167,+47,964 99 689,1956-09-10,True
Caleb,Mcclure,Lowe Ports 835,Angelaburgh,09199,Danmark,DK,19470918-5369,+45,+1-369-924-4515x9444,1947-09-18,True
Charlotta,Forsman,Ringvägen 957,Karlstad,11122,Sverige,SE,19730527-8097,+46,08-569 35 38,1973-05-27,True
Amanda,Sundqvist,Trädgårdsgatan 681,Karlstad,16506,Sverige,SE,19460217-8568,+46,08-45 88 89,1946-02-17,True
Margareta,Berglund,Industrigatan 4,Borlänge,95583,Sverige,SE,19421004-7664,+46,049-014 06 97,1942-10-04,True
